ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000175697	-0.005227939396916114	0.23951206876177752	-0.1718554922909641	0.8641312117178299	0.9278342300022913	-6.961285249369189
ENSG00000159352	0.0640622249857283	5.119011793482078	0.17174942247566363	0.8642142354130747	0.9278455061841454	-6.961303609553298
ENSG00000164953	0.008472891715853291	0.40794207438742924	0.17172386625764915	0.8642342391815925	0.9278455061841454	-6.961308031521035
ENSG00000188488	0.021734600455643356	0.46102960130528664	0.17161928351166592	0.8643161007775662	0.9278837232199372	-6.961326120523118
ENSG00000065989	-0.0069474668218187175	0.06807992196911535	-0.1714057059437352	0.8644832821360714	0.9279801738499714	-6.961363027457859
ENSG00000103888	-0.07927283874553902	1.5127955530066597	-0.17137769040283016	0.8645052122236678	0.9279801738499714	-6.96136786523294
ENSG00000273901	-0.007852128288827868	0.1529559517326178	-0.17132717880229661	0.8645447521134182	0.9279801738499714	-6.961376585672722
ENSG00000181562	-0.0045836843600470505	0.03688782357403201	-0.1711675188567424	0.8646697343364441	0.9280646575966887	-6.961404132848151
ENSG00000260369	-0.006661995875954415	0.03323577429973919	-0.17105667210415143	0.8647565075059656	0.9281081240723308	-6.961423242873554
ENSG00000124102	-0.0042401985754391604	-0.06149258974640846	-0.17087529057275308	0.8648985003899607	0.9282108478072052	-6.961454486447996
ENSG00000198099	0.004386271692236925	-0.0943571678192159	0.1707221265700172	0.8650184069209955	0.9282898586980302	-6.961480843671204
ENSG00000279604	-0.006275135328671701	-0.07901140591244214	-0.17059263322421317	0.8651197850408296	0.9283489785328453	-6.961503109109234
ENSG00000105668	0.005582059035539733	-0.09843747237528476	0.17042114245958695	0.8652540457221123	0.9284182359927267	-6.961532569720777
ENSG00000077009	0.010578445644210729	0.2542752239267182	0.1703357824887308	0.8653208758094931	0.9284182359927267	-6.961547222782081
ENSG00000151093	0.05113997100617613	2.3478899410189964	0.1703328147739998	0.8653231993125269	0.9284182359927267	-6.961547732093935
ENSG00000227375	0.004669836597150759	-0.014276754689612682	0.17024684975178653	0.8653905041396954	0.9284407805191897	-6.961562481350563
ENSG00000258729	-0.006287830964145968	0.14186873993021185	-0.17011313924987229	0.8654951924535033	0.9285034276462937	-6.961585407648539
ENSG00000040731	-0.15720769324686765	2.359559056940951	-0.16986135355324125	0.8656923340225333	0.9285961423816521	-6.961628530530966
ENSG00000126091	-0.00633458781127978	0.6352321803908544	-0.16978497452291563	0.8657521384860645	0.9285961423816521	-6.961641599215205
ENSG00000105894	-0.38799227863800384	9.632179639393291	-0.16977051485027572	0.8657634604384249	0.9285961423816521	-6.961644072648088
ENSG00000198399	0.012972140515629053	0.8451553608794224	0.16976194585101537	0.8657701699951728	0.9285961423816521	-6.961645538338843
