ENSEMBL	Non_SHH	SHH	AveExpr	F	P.Value	adj.P.Val
ENSG00000174099	0.46798970560622927	0.49014562992056004	0.4716218243462835	217.58255687240109	3.5514083869959232e-28	9.516534940698976e-28
ENSG00000204538	0.5746879126430415	0.5974742943458841	0.5784233850533438	217.58206693714268	3.5516186692826003e-28	9.516534940698976e-28
ENSG00000198933	1.7001992139916238	1.137141785542479	1.6078947175245508	217.51927276542534	3.57867699050053e-28	9.587756575137406e-28
ENSG00000177303	1.9917027055337095	1.6427257030980438	1.934493360872125	217.4842631197366	3.593855232173531e-28	9.62713510571288e-28
ENSG00000197106	0.615667148801066	0.4576787961947347	0.5897674188656019	217.42240988016528	3.620834178149852e-28	9.698110346818033e-28
ENSG00000079277	2.169745278280426	1.9288791761572663	2.130259032030728	217.38650518386115	3.6365909001387923e-28	9.73901283124364e-28
ENSG00000279317	0.39882979642645977	0.33517114839246165	0.3883939524864601	217.28037013649418	3.6835837483991563e-28	9.863545481694724e-28
ENSG00000165934	1.4457495616550562	0.885313697809556	1.3538748298771055	217.25879032161626	3.6932150516444062e-28	9.888015094884556e-28
ENSG00000136450	23.673538457506773	22.046832383931335	23.40686533069113	217.2440063572251	3.699828312337754e-28	9.904398909803257e-28
ENSG00000163249	1.0488437125844763	1.5354881339808693	1.128621486583885	217.202347529946	3.7185293229419276e-28	9.953132804073574e-28
ENSG00000164054	4.766140815925829	4.798521305853402	4.771449092963136	217.17201689831995	3.7322064404054335e-28	9.988408375870213e-28
ENSG00000143183	7.352261190737724	6.702948243833022	7.245816445343511	217.15557021169283	3.739644540759108e-28	1.0006979440889216e-27
ENSG00000196227	4.330428328108705	3.5588001593371597	4.203931906998616	217.12880214189792	3.7517833145274775e-28	1.0038122486147691e-27
