PostvsPreinWT	PostvsPreinTG	Diff	TGvsWTPre
ENSDARG00000002220	-1	0	0	-1
ENSDARG00000002230	0	0	0	0
ENSDARG00000002240	0	0	0	0
ENSDARG00000002249	0	0	0	0
ENSDARG00000002264	0	0	0	1
ENSDARG00000002271	1	0	0	0
ENSDARG00000002285	0	0	0	0
ENSDARG00000002298	1	0	0	0
ENSDARG00000002304	0	0	0	0
ENSDARG00000002305	0	0	0	0
ENSDARG00000002330	0	0	0	0
ENSDARG00000002332	0	0	0	0
ENSDARG00000002336	0	0	0	0
ENSDARG00000002339	0	-1	0	0
ENSDARG00000002344	-1	0	0	0
ENSDARG00000002347	0	0	0	0
ENSDARG00000002362	1	0	0	0
ENSDARG00000002365	0	1	0	0
ENSDARG00000002369	0	-1	0	0
ENSDARG00000002391	0	0	0	0
ENSDARG00000002396	1	1	0	0
ENSDARG00000002401	0	0	0	0
ENSDARG00000002402	0	0	0	0
ENSDARG00000002403	0	0	0	0
ENSDARG00000002406	0	0	0	0
ENSDARG00000002411	0	0	0	0
ENSDARG00000002467	0	0	0	-1
ENSDARG00000002479	0	0	0	0
ENSDARG00000002487	0	0	0	0
ENSDARG00000002506	0	-1	0	0
ENSDARG00000002523	0	0	0	0
ENSDARG00000002536	0	0	0	0
ENSDARG00000002538	0	0	0	0
ENSDARG00000002546	0	0	0	0
ENSDARG00000002549	0	0	0	0
ENSDARG00000002552	-1	-1	0	1
ENSDARG00000002576	0	0	0	0
ENSDARG00000002582	0	0	0	0
ENSDARG00000002587	0	-1	-1	1
ENSDARG00000002591	-1	0	0	0
ENSDARG00000002597	0	0	0	0
ENSDARG00000002601	0	0	0	0
ENSDARG00000002613	0	0	0	0
ENSDARG00000002635	0	-1	0	1
ENSDARG00000002642	0	0	0	0
ENSDARG00000002644	1	0	0	1
ENSDARG00000002656	0	0	0	-1
ENSDARG00000002659	0	0	0	0
ENSDARG00000002663	0	0	0	0
ENSDARG00000002682	0	0	0	1
ENSDARG00000002690	0	0	0	0
ENSDARG00000002696	0	0	0	0
ENSDARG00000002710	0	0	0	0
ENSDARG00000002720	-1	0	0	0
ENSDARG00000002731	1	0	0	0
ENSDARG00000002732	0	0	0	1
ENSDARG00000002745	0	0	0	1
ENSDARG00000002748	0	0	0	-1
ENSDARG00000002750	0	0	0	0
ENSDARG00000002754	0	0	0	0
ENSDARG00000002758	1	1	0	0
ENSDARG00000002768	0	0	0	0
ENSDARG00000002779	0	0	0	0
ENSDARG00000002787	0	0	0	0
ENSDARG00000002790	0	0	0	0
ENSDARG00000002792	0	0	0	0
ENSDARG00000002795	0	0	0	0
ENSDARG00000002798	0	0	0	0
ENSDARG00000002826	0	0	0	0
ENSDARG00000002830	0	0	0	0
ENSDARG00000002877	0	0	0	0
ENSDARG00000002880	0	0	0	0
ENSDARG00000002894	0	0	0	0
ENSDARG00000002897	0	0	0	0
ENSDARG00000002909	0	0	0	0
ENSDARG00000002912	0	-1	0	0
ENSDARG00000002933	0	0	0	0
ENSDARG00000002937	0	0	0	0
ENSDARG00000002945	1	0	0	1
ENSDARG00000002949	0	0	0	0
ENSDARG00000002952	1	0	0	0
ENSDARG00000002967	-1	0	1	0
ENSDARG00000002970	0	-1	0	0
ENSDARG00000002971	0	0	0	0
ENSDARG00000002986	1	1	0	0
ENSDARG00000002991	0	0	0	0
ENSDARG00000002994	0	0	0	0
ENSDARG00000003008	0	0	0	0
ENSDARG00000003017	0	1	0	-1
ENSDARG00000003020	0	0	0	0
ENSDARG00000003027	0	0	0	0
ENSDARG00000003032	0	0	0	0
ENSDARG00000003035	-1	0	0	0
ENSDARG00000003058	0	0	0	0
ENSDARG00000003061	0	0	0	0
ENSDARG00000003081	0	0	0	0
ENSDARG00000003087	1	0	-1	1
ENSDARG00000003090	0	0	0	0
ENSDARG00000003091	0	0	0	0
ENSDARG00000003098	0	0	0	0
ENSDARG00000003127	0	0	0	0
ENSDARG00000003142	0	0	0	-1
ENSDARG00000003151	-1	0	0	0
ENSDARG00000003153	0	0	0	0
ENSDARG00000003165	-1	0	0	-1
ENSDARG00000003167	0	0	0	0
ENSDARG00000003169	1	0	0	0
ENSDARG00000003175	0	0	0	0
ENSDARG00000003181	0	0	0	0
ENSDARG00000003189	0	0	0	0
ENSDARG00000003193	0	0	0	0
ENSDARG00000003200	1	0	0	0
ENSDARG00000003205	0	0	0	0
ENSDARG00000003206	0	0	0	0
ENSDARG00000003208	0	0	0	0
ENSDARG00000003213	-1	0	0	0
ENSDARG00000003216	1	0	0	0
ENSDARG00000003217	-1	0	0	0
ENSDARG00000003235	0	0	0	0
ENSDARG00000003251	0	0	0	0
ENSDARG00000003257	0	0	0	0
ENSDARG00000003259	1	0	0	0
ENSDARG00000003269	0	0	0	0
ENSDARG00000003270	0	0	0	0
ENSDARG00000003281	1	0	0	-1
ENSDARG00000003287	-1	0	0	0
ENSDARG00000003293	0	0	0	0
ENSDARG00000003307	0	0	0	0
ENSDARG00000003308	0	0	0	0
ENSDARG00000003311	1	0	0	0
ENSDARG00000003373	0	0	0	0
ENSDARG00000003375	0	0	0	0
ENSDARG00000003382	0	0	0	0
ENSDARG00000003383	1	0	-1	0
ENSDARG00000003399	0	0	0	0
ENSDARG00000003411	0	0	0	0
ENSDARG00000003429	0	0	0	0
ENSDARG00000003449	0	0	0	0
ENSDARG00000003462	0	0	0	0
ENSDARG00000003469	0	0	0	0
ENSDARG00000003486	0	0	0	0
ENSDARG00000003487	-1	0	0	0
ENSDARG00000003495	1	0	0	0
ENSDARG00000003512	0	0	0	0
ENSDARG00000003520	0	0	0	0
ENSDARG00000003526	0	0	0	0
ENSDARG00000003527	0	0	0	0
ENSDARG00000003531	-1	0	0	0
ENSDARG00000003564	0	0	0	0
ENSDARG00000003570	-1	0	0	0
ENSDARG00000003573	0	0	0	0
ENSDARG00000003592	0	0	0	-1
ENSDARG00000003599	0	0	0	1
ENSDARG00000003607	0	0	0	0
ENSDARG00000003631	0	0	0	0
ENSDARG00000003641	0	0	0	0
ENSDARG00000003642	0	0	0	0
ENSDARG00000003655	0	0	0	0
ENSDARG00000003675	0	0	0	0
ENSDARG00000003680	1	1	0	0
ENSDARG00000003681	0	0	0	0
ENSDARG00000003693	0	0	0	0
ENSDARG00000003695	0	0	0	0
ENSDARG00000003697	0	0	0	0
ENSDARG00000003701	0	0	0	0
ENSDARG00000003705	0	0	0	0
ENSDARG00000003706	0	0	0	0
ENSDARG00000003732	0	0	0	0
ENSDARG00000003751	1	0	0	0
ENSDARG00000003754	0	0	0	0
ENSDARG00000003757	-1	0	0	0
ENSDARG00000003769	0	0	0	0
ENSDARG00000003776	1	0	0	0
ENSDARG00000003779	0	0	0	1
ENSDARG00000003789	0	1	0	-1
ENSDARG00000003795	0	0	0	1
ENSDARG00000003803	0	0	0	0
ENSDARG00000003808	1	0	0	0
ENSDARG00000003811	0	0	0	0
ENSDARG00000003818	0	0	0	0
ENSDARG00000003820	0	0	0	0
ENSDARG00000003827	0	0	0	0
ENSDARG00000003829	1	0	0	0
ENSDARG00000003835	1	0	0	0
ENSDARG00000003841	0	0	0	-1
ENSDARG00000003845	0	0	0	0
ENSDARG00000003846	0	0	0	0
ENSDARG00000003854	0	0	0	0
ENSDARG00000003866	0	0	0	0
ENSDARG00000003869	0	0	0	0
ENSDARG00000003872	0	0	0	0
ENSDARG00000003902	0	0	0	0
ENSDARG00000003904	0	0	0	0
ENSDARG00000003910	0	0	0	0
ENSDARG00000003920	-1	-1	0	0
ENSDARG00000003927	0	0	0	0
ENSDARG00000003931	1	0	0	0
ENSDARG00000003938	1	0	0	1
ENSDARG00000003940	0	0	0	0
ENSDARG00000003941	0	0	0	0
ENSDARG00000003952	0	0	0	0
ENSDARG00000003961	0	0	0	0
ENSDARG00000003965	0	0	0	0
ENSDARG00000003968	-1	0	0	0
ENSDARG00000003971	0	0	0	0
ENSDARG00000003973	0	0	0	0
ENSDARG00000003974	0	0	0	0
ENSDARG00000003984	0	0	0	-1
ENSDARG00000003994	0	0	0	-1
ENSDARG00000004015	0	0	0	0
ENSDARG00000004017	0	0	0	0
ENSDARG00000004023	0	0	0	0
ENSDARG00000004034	0	0	0	0
ENSDARG00000004037	0	0	0	0
ENSDARG00000004046	-1	0	0	0
ENSDARG00000004051	0	0	0	0
ENSDARG00000004059	0	0	0	0
ENSDARG00000004060	1	0	0	0
ENSDARG00000004078	0	0	0	-1
ENSDARG00000004094	0	1	0	-1
ENSDARG00000004105	0	0	0	0
ENSDARG00000004111	0	0	0	0
ENSDARG00000004130	0	0	0	0
ENSDARG00000004132	0	0	0	0
ENSDARG00000004141	0	0	0	0
ENSDARG00000004150	0	0	0	0
ENSDARG00000004154	0	0	0	0
ENSDARG00000004160	1	0	-1	0
ENSDARG00000004161	0	0	0	0
ENSDARG00000004171	1	0	0	0
ENSDARG00000004173	0	0	0	0
ENSDARG00000004174	0	0	0	0
ENSDARG00000004189	-1	-1	0	0
ENSDARG00000004196	1	0	0	1
ENSDARG00000004204	0	0	0	0
ENSDARG00000004219	0	0	0	0
ENSDARG00000004232	0	0	0	0
ENSDARG00000004246	0	0	0	0
ENSDARG00000004251	0	0	0	0
ENSDARG00000004256	0	0	0	0
ENSDARG00000004261	0	0	0	0
ENSDARG00000004262	0	1	0	0
ENSDARG00000004270	1	0	0	0
ENSDARG00000004280	0	0	0	0
ENSDARG00000004296	0	0	0	0
ENSDARG00000004301	0	0	0	0
ENSDARG00000004306	0	0	0	0
ENSDARG00000004308	-1	-1	0	0
ENSDARG00000004311	1	0	-1	0
ENSDARG00000004318	-1	-1	0	0
ENSDARG00000004325	1	0	0	0
ENSDARG00000004343	0	0	0	0
ENSDARG00000004377	0	0	0	0
ENSDARG00000004378	0	0	0	0
ENSDARG00000004386	0	0	0	0
ENSDARG00000004392	1	0	0	0
ENSDARG00000004405	0	0	0	0
ENSDARG00000004415	0	0	0	0
ENSDARG00000004433	0	0	0	0
ENSDARG00000004447	-1	0	0	0
ENSDARG00000004451	0	0	0	0
ENSDARG00000004452	0	0	0	0
ENSDARG00000004455	0	0	0	0
ENSDARG00000004459	0	0	0	0
ENSDARG00000004460	0	0	0	0
ENSDARG00000004470	0	0	0	0
ENSDARG00000004472	0	0	0	0
ENSDARG00000004517	-1	0	0	-1
ENSDARG00000004525	-1	0	0	0
ENSDARG00000004529	0	0	0	0
ENSDARG00000004537	0	0	0	0
ENSDARG00000004539	0	1	0	-1
ENSDARG00000004574	0	0	0	0
ENSDARG00000004576	0	0	0	0
ENSDARG00000004580	0	0	0	0
ENSDARG00000004581	0	0	0	0
ENSDARG00000004586	0	0	0	0
ENSDARG00000004587	0	0	0	0
ENSDARG00000004588	-1	0	0	-1
ENSDARG00000004594	0	0	0	0
ENSDARG00000004598	0	0	0	0
ENSDARG00000004616	0	0	0	0
ENSDARG00000004618	0	0	0	0
ENSDARG00000004621	0	0	0	0
ENSDARG00000004632	0	0	0	0
ENSDARG00000004658	0	0	0	0
ENSDARG00000004672	0	0	0	0
ENSDARG00000004680	0	0	0	-1
ENSDARG00000004692	1	1	0	0
ENSDARG00000004695	0	0	0	0
ENSDARG00000004706	0	0	0	0
ENSDARG00000004712	0	0	0	0
ENSDARG00000004713	0	0	0	0
ENSDARG00000004714	1	0	0	1
ENSDARG00000004724	1	0	0	0
ENSDARG00000004726	0	0	0	0
ENSDARG00000004735	-1	0	0	0
ENSDARG00000004745	0	0	0	0
ENSDARG00000004748	0	0	0	0
ENSDARG00000004754	0	0	0	0
ENSDARG00000004757	-1	0	0	0
ENSDARG00000004774	0	0	0	0
ENSDARG00000004782	0	0	0	0
ENSDARG00000004785	1	0	0	0
ENSDARG00000004794	0	0	0	0
ENSDARG00000004806	0	0	0	0
ENSDARG00000004823	0	0	0	0
ENSDARG00000004830	0	0	0	0
ENSDARG00000004836	0	0	0	0
ENSDARG00000004840	0	0	0	0
ENSDARG00000004843	0	0	0	1
ENSDARG00000004851	0	0	0	0
ENSDARG00000004861	0	0	0	0
ENSDARG00000004866	1	0	0	0
ENSDARG00000004870	1	0	0	0
ENSDARG00000004874	0	0	0	-1
ENSDARG00000004875	1	0	0	0
ENSDARG00000004889	0	0	0	0
ENSDARG00000004891	-1	0	0	0
ENSDARG00000004898	0	0	0	0
ENSDARG00000004930	0	0	0	0
ENSDARG00000004932	1	0	0	0
ENSDARG00000004937	0	0	0	0
ENSDARG00000004939	0	0	0	1
ENSDARG00000004954	1	1	0	-1
ENSDARG00000004956	0	0	0	0
ENSDARG00000004964	0	0	0	0
ENSDARG00000004979	0	0	0	0
ENSDARG00000004988	0	0	0	0
ENSDARG00000005004	0	0	0	0
ENSDARG00000005015	0	0	0	0
ENSDARG00000005023	1	0	-1	0
ENSDARG00000005026	0	0	0	0
ENSDARG00000005034	0	0	0	1
ENSDARG00000005049	1	1	0	0
ENSDARG00000005050	0	0	0	0
ENSDARG00000005057	0	0	0	0
ENSDARG00000005058	0	0	0	-1
ENSDARG00000005078	0	0	0	0
ENSDARG00000005085	1	0	-1	1
ENSDARG00000005098	0	0	0	0
ENSDARG00000005104	1	0	0	0
ENSDARG00000005108	0	0	0	0
ENSDARG00000005112	0	0	0	0
ENSDARG00000005122	0	0	0	0
ENSDARG00000005128	0	0	0	0
ENSDARG00000005134	0	0	0	0
ENSDARG00000005139	0	0	0	1
ENSDARG00000005150	0	0	0	0
ENSDARG00000005162	1	0	0	1
ENSDARG00000005163	1	0	0	1
ENSDARG00000005179	0	0	0	1
ENSDARG00000005185	1	1	0	1
ENSDARG00000005186	0	-1	0	0
ENSDARG00000005191	0	0	0	0
ENSDARG00000005210	0	0	0	0
ENSDARG00000005218	0	0	0	1
ENSDARG00000005220	0	0	0	0
ENSDARG00000005221	0	0	0	0
ENSDARG00000005230	1	0	0	0
ENSDARG00000005236	0	0	0	0
ENSDARG00000005246	0	0	0	0
ENSDARG00000005251	0	0	0	-1
ENSDARG00000005254	0	0	0	0
ENSDARG00000005315	0	0	0	0
ENSDARG00000005320	0	0	0	0
ENSDARG00000005350	0	0	0	0
ENSDARG00000005355	0	0	0	0
ENSDARG00000005359	0	0	0	0
ENSDARG00000005374	-1	0	0	0
ENSDARG00000005382	1	0	0	1
ENSDARG00000005423	-1	0	1	-1
ENSDARG00000005425	1	1	0	0
ENSDARG00000005448	0	-1	0	0
ENSDARG00000005451	0	0	0	0
ENSDARG00000005453	0	0	0	0
ENSDARG00000005454	1	0	0	0
ENSDARG00000005456	0	-1	0	0
ENSDARG00000005458	0	0	0	0
ENSDARG00000005462	0	0	0	0
ENSDARG00000005463	0	0	0	0
ENSDARG00000005464	0	0	0	0
ENSDARG00000005468	0	0	0	0
ENSDARG00000005476	0	0	0	0
ENSDARG00000005479	0	0	0	0
ENSDARG00000005481	0	0	0	0
ENSDARG00000005482	0	0	0	0
ENSDARG00000005500	0	0	0	0
ENSDARG00000005510	0	0	0	0
ENSDARG00000005513	-1	0	0	1
ENSDARG00000005525	1	0	0	0
ENSDARG00000005536	-1	-1	0	0
ENSDARG00000005541	0	0	0	0
ENSDARG00000005551	-1	0	0	0
ENSDARG00000005560	0	0	0	0
