logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000006192	0.396309545515879	0.345299311218617	8.73583429928133	6.70860676851745e-06	0.00121360011855572	4.37880877769838
ENSDARG00000005004	1.01268785871365	2.65905418979457	8.665255739255	7.19790385227468e-06	0.00127707424886704	4.31001261375655
ENSDARG00000039268	0.504691260429526	1.05848303157247	8.62867836163155	7.46669912478798e-06	0.00129976917217536	4.27414776717959
ENSDARG00000016143	0.708187795997934	0.992079296891703	8.55977290906577	8.00330969359698e-06	0.00135568212463876	4.20618980682499
ENSDARG00000043287	-0.415901859040178	0.829595740944498	-8.5501204800335	8.08178157978886e-06	0.00135568212463876	4.19662870176439
ENSDARG00000004311	-0.785930314787129	0.777274105266012	-8.51395226779895	8.38337303673159e-06	0.00136583551108234	4.16071172561642
ENSDARG00000098666	0.385769414870172	0.494220497525602	8.50750715394809	8.43839411789434e-06	0.00136583551108234	4.15429627150086
ENSDARG00000088449	-0.671272545608037	1.48043481060969	-8.45257485951699	8.92365682564213e-06	0.00139664569365564	4.09943045529877
ENSDARG00000007409	-0.421538520819289	0.381779961991488	-8.43689601762669	9.06768554940332e-06	0.00139664569365564	4.08370919576176
ENSDARG00000105042	0.828193408816701	0.25317337333842	8.43525676403708	9.08288983517653e-06	0.00139664569365564	4.08206392793873
ENSDARG00000029292	-0.414471089882633	0.708560253447556	-8.40473293519903	9.37114233029505e-06	0.0014173468711361	4.05137337415854
ENSDARG00000071679	-0.484978893899329	0.67074683861688	-8.33616921956459	1.0055678790853e-05	0.00149634987942596	3.98205464241512
ENSDARG00000075709	0.557854128804685	1.66658826468429	8.30422428663525	1.03930787116178e-05	0.00152200863799024	3.94957704097175
ENSDARG00000059057	-0.381425105559578	0.52827109728355	-8.27600090672464	1.07014581062487e-05	0.00152624101775197	3.92078681792232
ENSDARG00000103578	-0.341246489850233	0.977944097895396	-8.27138497764251	1.0752836132005e-05	0.00152624101775197	3.91606956684272
ENSDARG00000060729	0.405055174873976	0.455796900901773	8.24753015476652	1.10226764745259e-05	0.00154083656293903	3.89165242147911
ENSDARG00000037910	0.325331066118714	0.166781068121257	8.1925694248762	1.16729063884087e-05	0.00160737663193221	3.8351483820854
ENSDARG00000060917	-0.401893150395405	0.255550812914752	-8.1654622554418	1.20089057710645e-05	0.00162932595064472	3.80715220447018
ENSDARG00000103979	-0.925838538273606	2.32908953877003	-8.11273953340007	1.26930091821839e-05	0.00168670288073079	3.75245707386004
ENSDARG00000021389	0.50087799305613	0.455870934240898	8.10496423338117	1.27974421906737e-05	0.00168670288073079	3.74436359289634
ENSDARG00000035458	1.92801671096958	0.907080986955874	8.08109848227473	1.31238837333401e-05	0.00169772780763125	3.71947721755664
ENSDARG00000103046	0.352151157134958	0.725407139538335	8.0620323741903	1.3391196519413e-05	0.00169772780763125	3.69954795225676
ENSDARG00000093382	-0.537478155929515	0.497538770481592	-8.05907857566975	1.34331378665816e-05	0.00169772780763125	3.69645662468116
ENSDARG00000040565	2.35625055164574	1.29133449323004	7.96242974454768	1.48876248005131e-05	0.00185612468120992	3.59474165810125
ENSDARG00000058606	1.91007926933781	1.50104287020176	7.92806604909955	1.544541062681e-05	0.00189276370663292	3.55831033614831
ENSDARG00000099197	2.11872866492876	1.25100463706629	7.91211337705489	1.57120533795555e-05	0.00189276370663292	3.54135001271923
