	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 2	Unamputated dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 1	7 days post-amputation wildtype adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 2	Unamputated wildtype adult zebrafish, sample 1	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 2	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 2
AFFX-r2-TagC	-0.41671909999999995	-0.42564286	-0.49583129	-0.45197173	-0.45550037	-0.49333423	-0.45125236	-0.45708944	-0.47940249	-0.41880615	-0.5171754	-0.44917952
AFFX-r2-TagD	-0.45243949	-0.42816091	-0.45763817	-0.43312654	-0.45183949	-0.42664179	-0.39043307	-0.42413003	-0.43646121	-0.35350877	-0.43698842	-0.39071141
AFFX-r2-TagE	-0.51293957	-0.49996105	-0.4649882000000001	-0.48082870000000005	-0.5615591	-0.51715633	-0.56618027	-0.54629103	-0.51504207	-0.50653956	-0.44978075	-0.50075273
AFFX-r2-TagF	-0.32545965	-0.28681623	-0.32161521	-0.31133717	-0.36027897	-0.29457898	-0.34249875	-0.33918873	-0.32976745	-0.2884943	-0.27937080000000003	-0.31099537
AFFX-r2-TagG	-0.29773379	-0.26827025	-0.32941608	-0.30383335	-0.38453343	-0.32973146	-0.3444217	-0.32839554	-0.30396592	-0.29649309	-0.2947473	-0.32649745
AFFX-r2-TagH	-0.18492371	-0.19096001	-0.22929718	-0.24375505	-0.13880341	-0.22076549	-0.20809805	-0.2186987	-0.25620481	-0.17497628	-0.19837169	-0.23621260000000002
AFFX-r2-TagIN-3	-0.18848112	-0.17482226	-0.19904303	-0.14393607	-0.2315343	-0.22107447	-0.17925002	-0.15290075	-0.22027947	-0.11410307	-0.08947362	-0.16603599
AFFX-r2-TagIN-5	-0.2328178	-0.20043224	-0.18573331	-0.18139481	-0.11652167	-0.15436605	-0.18890789	-0.21333147	-0.21307238	-0.26534219	-0.20453665	-0.15327543
AFFX-r2-TagIN-M	-0.3227257	-0.26144304	-0.30929332	-0.33846813	-0.34370752	-0.37693866	-0.31483347	-0.34689741	-0.42505308	-0.33393836	-0.31793452	-0.3661472
AFFX-r2-TagJ-3	-0.32817648	-0.32983167	-0.36278389	-0.290473	-0.31218826	-0.3062527	-0.31719801	-0.39023735	-0.3264163	-0.29529742	-0.30875322	-0.33314561
AFFX-r2-TagJ-5	-0.49261093	-0.40697928	-0.46298779	-0.42615037	-0.41453191	-0.41327905	-0.4755166	-0.40761367	-0.46591406	-0.41478279999999995	-0.41632398	-0.44531633
AFFX-r2-TagO-3	-0.34102317	-0.35881471	-0.37947073	-0.3886631	-0.38747395	-0.32021434	-0.39034427	-0.39413117	-0.43847557	-0.35017151	-0.35252704	-0.38560979
AFFX-r2-TagO-5	-0.36817201	-0.38403351	-0.46057005	-0.38162973	-0.38746220000000003	-0.39992502	-0.33692177	-0.43405628	-0.43635904	-0.34621197	-0.35853208	-0.4130121
AFFX-r2-TagQ-3	-0.4721869000000001	-0.37916865	-0.42412649	-0.40352649	-0.48587487	-0.48091606	-0.47665715	-0.43722089999999997	-0.44528993	-0.41908217	-0.39327786	-0.41005605
